,Onsite_Energy,Chemical_Potential,Nparticles,E1,E1m2,E1p2
24,4.318181818181818,-0.0588219321961034,24.0,-97.65102001495276,-97.09503166276409,-97.31450802097436
25,4.3106060606060606,-0.0512461746202177,24.0,-97.46920183313408,-96.92836499609652,-97.11753832400488
26,4.303030303030303,-0.0436704170444883,24.0,-97.28738365131632,-96.76169832942914,-96.92056862703448
27,4.295454545454546,-0.0360946594687945,24.0,-97.1055654694986,-96.59503166276478,-96.72359893006468
28,4.287878787878787,-0.0285189018930367,24.0,-96.92374728768011,-96.42836499609652,-96.52662923309516
29,4.28030303030303,-0.0209431443172363,24.0,-96.74192910586136,-96.26169832943084,-96.32965953612508
30,4.272727272727273,-0.0133673867413577,24.0,-96.56011092404366,-96.09503166276416,-96.132689839156
31,4.265151515151516,-0.0057916291656781,24.0,-96.37829274222496,-95.92836499609726,-95.93572014218584
32,4.257575757575757,0.0017841284101365,24.0,-96.1964745604073,-95.76169832942996,-95.73875044521614
33,4.25,0.009359885985809,24.0,-96.01465637858888,-95.59503166276424,-95.54178074824708
34,4.242424242424242,0.0169356435615313,24.0,-95.83283819677062,-95.42836499609734,-95.34481105127593
35,4.234848484848484,0.0245114011373317,24.0,-95.65102001495296,-95.26169832943168,-95.14784135430747
36,4.227272727272728,0.032087158713054,24.0,-95.4692018331354,-95.09503166276414,-94.9508716573377
37,4.21969696969697,0.0396629162887052,24.0,-95.28738365131684,-94.92836499609624,-94.75390196036824
38,4.212121212121212,0.0472386738645269,24.0,-95.10556546949866,-94.76169832943152,-94.55693226339842
39,4.204545454545455,0.0548144314403842,24.0,-94.9237472876796,-94.59503166276411,-94.35996256642788
40,4.196969696969697,0.0623901890161917,24.0,-94.74192910586213,-94.42836499609744,-94.16299286945949
41,4.1893939393939394,0.069965946591914,24.0,-94.56011092404395,-94.26169832943002,-93.96602317248872
42,4.181818181818182,0.0775417041676433,24.0,-94.37829274222528,-94.0950316627642,-93.7690534755192
43,4.174242424242424,0.0851174617434793,24.0,-94.19647456040732,-93.92836499609736,-93.57208377854931
44,4.166666666666666,0.092693219319166,24.0,-94.01465637858956,-93.76169832943076,-93.37511408157904
45,4.159090909090908,0.1002689768949451,24.0,-93.83283819677064,-93.5950316627626,-93.17814438460964
46,4.151515151515151,0.1078447344706745,24.0,-93.65102001495228,-93.4283649960972,-92.98117468763974
47,4.1439393939393945,0.1154204920463612,24.0,-93.46920183313472,-93.26169832943064,-92.78420499067128
48,4.136363636363637,0.1229962496222043,24.0,-93.28738365131636,-93.09503166276404,-92.58723529370064
49,4.128787878787879,0.1305720071979266,24.0,-93.10556546949871,-92.9283649960967,-92.39026559673064
50,4.121212121212121,0.1381477647736986,24.0,-92.92374728767982,-92.7616983294306,-92.1932958997624
51,4.113636363636363,-0.0734487215492052,23.0,-92.7466237637664,-92.19167112704484,-92.45517671906757
52,4.106060606060606,-0.0658729639734545,23.0,-92.57238133952411,-92.03258021795392,-92.2657827796736
53,4.098484848484849,-0.0582972063984925,23.0,-92.39813891528168,-91.87348930886304,-92.07638884027958
54,4.090909090909092,-0.0507214488214273,23.0,-92.22389649103928,-91.71439839977208,-91.88699490088578
55,4.083333333333334,-0.0431456912459893,23.0,-92.0496540667968,-91.55530749068112,-91.69760096149191
56,4.075757575757576,-0.0355699336702741,23.0,-91.8754116425544,-91.39621658159037,-91.50820702209802
57,4.068181818181818,-0.027994176094694,23.0,-91.701169218312,-91.23712567249952,-91.31881308270404
58,4.0606060606060606,-0.0204184185193057,23.0,-91.52692679406957,-91.07803476340835,-91.12941914331007
59,4.053030303030303,-0.0128426609426526,23.0,-91.3526843698272,-90.91894385431752,-90.94002520391608
60,4.045454545454546,-0.005266903367449,23.0,-91.17844194558464,-90.75985294522668,-90.75063126452228
61,4.037878787878788,0.0023088542088771,23.0,-91.0041995213423,-90.60076203613568,-90.56123732512818
